window,window_start_s,packet_count,mean_pkt_size,var_pkt_size,total_bytes,unique_dst_ports,unique_src_dst_pairs,tcp_ratio,udp_ratio,icmp_ratio,syn_ratio,ground_truth,z_packet_count,z_unique_dst_ports,z_mean_pkt_size,max_abs_z,driving_feature,flagged
0,0.0,7,525.5714285714286,124711.95918367348,3679,3,6,1.0,0.0,0.0,0.2857142857142857,normal,-0.3623780201079592,-0.7831784593147285,-0.261711187659376,0.7831784593147285,z_unique_dst_ports,False
1,1.0,7,359.7142857142857,43142.77551020408,2518,3,7,0.7142857142857143,0.2857142857142857,0.0,0.1428571428571428,normal,-0.3623780201079592,-0.7831784593147285,-1.3803286867236597,1.3803286867236597,z_mean_pkt_size,False
2,2.0,14,606.9285714285714,171340.92346938775,8497,5,14,0.8571428571428571,0.0714285714285714,0.0714285714285714,0.1428571428571428,normal,2.108381207900852,1.142670211131325,0.2869991187291769,2.108381207900852,z_packet_count,False
3,3.0,7,440.8571428571428,45656.40816326531,3086,4,7,1.0,0.0,0.0,0.4285714285714285,normal,-0.3623780201079592,0.1797458759082982,-0.8330636225819608,0.8330636225819608,z_mean_pkt_size,False
4,4.0,10,313.5,44395.05,3135,4,10,0.8,0.2,0.0,0.1,normal,0.6965187918958171,0.1797458759082982,-1.6920192646283074,1.6920192646283074,z_mean_pkt_size,False
5,5.0,7,744.1428571428571,118975.26530612248,5209,3,7,1.0,0.0,0.0,0.2857142857142857,normal,-0.3623780201079592,-0.7831784593147285,1.2124359041307655,1.2124359041307655,z_mean_pkt_size,False
6,6.0,5,679.6,185379.04,3398,2,4,1.0,0.0,0.0,0.2,normal,-1.0683092281104767,-1.7461027945377554,0.7771289393786182,1.7461027945377554,z_unique_dst_ports,False
7,7.0,12,460.8333333333333,158293.97222222222,5530,3,12,0.8333333333333334,0.1666666666666666,0.0,0.1666666666666666,normal,1.4024499998983346,-0.7831784593147285,-0.6983349286808788,1.4024499998983346,z_packet_count,False
8,8.0,6,708.0,118025.66666666669,4248,4,6,0.8333333333333334,0.1666666666666666,0.0,0.0,normal,-0.7153436241092179,0.1797458759082982,0.9686717118282129,0.9686717118282129,z_mean_pkt_size,False
9,9.0,11,539.7272727272727,137328.01652892563,5937,5,11,0.9090909090909092,0.0909090909090909,0.0,0.2727272727272727,normal,1.0494843958970759,1.142670211131325,-0.1662376089278693,1.142670211131325,z_unique_dst_ports,False
10,10.0,8,644.25,121662.9375,5154,4,8,0.75,0.25,0.0,0.125,normal,-0.00941241610670045,0.1797458759082982,0.5387121433894215,0.5387121433894215,z_mean_pkt_size,False
11,11.0,11,456.3636363636364,123619.86776859504,5020,5,11,0.8181818181818182,0.1818181818181818,0.0,0.1818181818181818,normal,1.0494843958970759,1.142670211131325,-0.7284806381733191,1.142670211131325,z_unique_dst_ports,False
12,12.0,9,701.4444444444445,129292.24691358022,6313,5,9,1.0,0.0,0.0,0.0,normal,0.3435531878945583,1.142670211131325,0.9244580045726335,1.142670211131325,z_unique_dst_ports,False
13,13.0,6,692.6666666666666,120089.55555555556,4156,4,6,1.0,0.0,0.0,0.1666666666666666,normal,-0.7153436241092179,0.1797458759082982,0.8652565999422811,0.8652565999422811,z_mean_pkt_size,False
14,14.0,7,437.42857142857144,166963.95918367346,3062,3,7,0.5714285714285714,0.4285714285714285,0.0,0.1428571428571428,normal,-0.3623780201079592,-0.7831784593147285,-0.8561874985316094,0.8561874985316094,z_mean_pkt_size,False
15,15.0,12,704.75,96204.52083333331,8457,4,11,1.0,0.0,0.0,0.25,normal,1.4024499998983346,0.1797458759082982,0.9467522044176078,1.4024499998983346,z_packet_count,False
16,16.0,4,959.75,21958.6875,3839,3,4,1.0,0.0,0.0,0.25,normal,-1.4212748321117354,-0.7831784593147285,2.6665904781727727,2.6665904781727727,z_mean_pkt_size,True
17,17.0,11,535.6363636363636,147851.14049586776,5892,5,9,0.9090909090909092,0.0,0.0909090909090909,0.0909090909090909,normal,1.0494843958970759,1.142670211131325,-0.19382859727688284,1.142670211131325,z_unique_dst_ports,False
18,18.0,7,579.8571428571429,183055.83673469388,4059,3,7,0.7142857142857143,0.2857142857142857,0.0,0.1428571428571428,normal,-0.3623780201079592,-0.7831784593147285,0.10441684821007123,0.7831784593147285,z_unique_dst_ports,False
19,19.0,13,487.7692307692308,134536.79289940826,6341,4,13,0.8461538461538461,0.0769230769230769,0.0769230769230769,0.1538461538461538,normal,1.7554156038995934,0.1797458759082982,-0.5166667430016628,1.7554156038995934,z_packet_count,False
20,20.0,8,718.25,145745.1875,5746,4,8,0.875,0.125,0.0,0.25,normal,-0.00941241610670045,0.1797458759082982,1.0378024659693519,1.0378024659693519,z_mean_pkt_size,False
21,21.0,9,480.3333333333333,167633.77777777784,4323,4,8,0.6666666666666666,0.1111111111111111,0.2222222222222222,0.1111111111111111,normal,0.3435531878945583,0.1797458759082982,-0.5668178842172484,0.5668178842172484,z_mean_pkt_size,False
22,22.0,6,524.3333333333334,205044.88888888888,3146,4,6,1.0,0.0,0.0,0.6666666666666666,normal,-0.7153436241092179,0.1797458759082982,-0.27006147619674903,0.7153436241092179,z_packet_count,False
23,23.0,6,787.8333333333334,201743.13888888888,4727,3,6,0.8333333333333334,0.1666666666666666,0.0,0.3333333333333333,normal,-0.7153436241092179,-0.7831784593147285,1.5071047400169217,1.5071047400169217,z_mean_pkt_size,False
24,24.0,13,543.8461538461538,133793.51479289943,7070,5,11,0.8461538461538461,0.1538461538461538,0.0,0.2307692307692307,normal,1.7554156038995934,1.142670211131325,-0.13845796424826476,1.7554156038995934,z_packet_count,False
25,25.0,10,692.9,118873.69000000002,6929,5,10,1.0,0.0,0.0,0.2,normal,0.6965187918958171,1.142670211131325,0.8668303081666323,1.142670211131325,z_unique_dst_ports,False
26,26.0,4,730.0,140313.5,2920,4,4,0.75,0.25,0.0,0.25,normal,-1.4212748321117354,0.1797458759082982,1.1170499158384624,1.4212748321117354,z_packet_count,False
